SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
378,38885,39263,12979586,486958,13466544,13953502,3752962,285622,4038584,4324206,8511476,411459,8922935,9334394,33555896,919866,34475762,35395628,18.2,0.70,18.9,19.6,19.4,1.45,20.8,22.3,16.7,0.80,17.5,18.3,12.4,0.35,12.7,13.1,71338364,19382484,51060953,271059449,1998
313,40696,41009,11810623,469698,12280321,12750019,3323894,270522,3594416,3864938,7791630,396438,8188068,8584506,31891000,900272,32791272,33691544,16.5,0.65,17.1,17.8,17.5,1.45,18.9,20.4,15.1,0.75,15.9,16.6,11.5,0.35,11.9,12.2,71684956,18968750,51642359,276207757,1999
217,41990,42207,11127838,459280,11587118,12046398,3312911,270187,3583098,3853285,7154100,382475,7536575,7919050,30695361,885725,31581086,32466811,15.5,0.65,16.2,16.8,17.3,1.40,18.7,20.1,13.9,0.75,14.6,15.4,11.0,0.30,11.3,11.6,71741141,19181906,51548879,278944452,2000
212,42228,42440,11403410,329274,11732684,12061958,3383307,192572,3575879,3768451,7387461,274833,7662294,7937127,32262565,643946,32906511,33550457,15.8,0.45,16.3,16.7,17.6,1.00,18.6,19.6,14.3,0.50,14.8,15.3,11.5,0.20,11.7,11.9,72020548,19257993,51820491,281474939,2001
229,42409,42638,11795343,337302,12132645,12469947,3530466,196727,3727193,3923920,7722500,282014,8004514,8286528,33912173,657778,34569951,35227729,16.2,0.50,16.7,17.2,18.0,1.00,19.0,20.0,14.8,0.55,15.3,15.9,11.9,0.20,12.1,12.3,72695775,19594188,52168584,285317346,2002
309,43318,43627,12519657,346149,12865806,13211955,3817517,203849,4021366,4225215,8111130,288443,8399573,8688016,35190401,670769,35861170,36531939,17.2,0.45,17.6,18.1,19.3,1.05,20.3,21.4,15.5,0.55,16.1,16.6,12.2,0.25,12.5,12.7,72999159,19763309,52278842,287699184,2003
322,44334,44656,12694086,347406,13041492,13388898,3917910,205805,4123715,4329520,8142299,288587,8430886,8719473,36359662,680142,37039804,37719946,17.3,0.50,17.8,18.3,19.5,1.00,20.5,21.5,15.6,0.55,16.2,16.7,12.5,0.25,12.7,13.0,73241407,20121433,52159407,290616537,2004
104,46242,46346,13217771,142502,13360273,13502775,4187205,55743,4242948,4298691,8662789,102752,8765541,8868293,37934924,296550,38231474,38528024,18.4,0.15,18.5,18.7,21.0,0.25,21.3,21.5,16.8,0.20,17.0,17.2,13.2,0.10,13.3,13.4,72023983,19959312,51658744,287270432,2005
82,48451,48533,13170950,114619,13285569,13400188,4166465,44880,4211345,4256225,8613863,86185,8700048,8786233,38535015,222238,38757253,38979491,18.2,0.15,18.3,18.5,20.8,0.20,21.0,21.2,16.6,0.15,16.7,16.9,13.2,0.10,13.3,13.4,72482732,20066651,51999081,291531091,2006
75,50740,50815,12981173,115927,13097100,13213027,4178842,50278,4229120,4279398,8419720,80124,8499844,8579968,37829283,222964,38052247,38275211,17.9,0.15,18.0,18.2,20.5,0.25,20.8,21.0,16.2,0.15,16.4,16.5,12.9,0.05,13.0,13.0,72665911,20348501,51904411,293744043,2007
73,52029,52102,13115296,125574,13240870,13366444,4311741,57957,4369698,4427655,8469455,80071,8549526,8629597,38858742,249680,39108422,39358102,18.0,0.20,18.2,18.4,20.9,0.30,21.2,21.5,16.3,0.15,16.5,16.6,13.1,0.10,13.2,13.3,72825003,20602241,51864080,296184480,2008
74,50221,50295,14526159,130803,14656962,14787765,4792377,57611,4849988,4907599,9419830,89312,9509142,9598454,42631574,236589,42868163,43104752,19.8,0.20,20.0,20.2,23.0,0.25,23.2,23.5,18.1,0.15,18.2,18.4,14.3,0.05,14.3,14.4,73347404,20878285,52143306,299026555,2009
64,50046,50110,15621395,127734,15749129,15876863,4910772,50752,4961524,5012276,10394015,90498,10484513,10575011,45975650,240306,46215956,46456262,21.4,0.20,21.6,21.8,24.8,0.20,25.0,25.2,19.6,0.20,19.8,20.0,15.2,0.10,15.3,15.4,73024577,19822633,52872735,301535021,2010
73,50502,50575,16262247,124253,16386500,16510753,5061357,48730,5110087,5158817,10882675,94312,10976987,11071299,48217869,234166,48452035,48686201,22.3,0.20,22.5,22.7,25.6,0.20,25.8,26.0,20.6,0.20,20.8,21.0,15.8,0.10,15.9,16.0,72802773,19772854,52708799,303778193,2011
53,51371,51424,16275868,120995,16396863,16517858,4971692,43278,5014970,5058248,10995403,91134,11086537,11177671,48528543,231580,48760123,48991703,22.4,0.20,22.6,22.8,25.4,0.20,25.6,25.8,20.8,0.20,21.0,21.2,15.8,0.10,15.9,16.0,72605436,19611275,52675863,306086063,2012
65,52250,52315,15948844,138116,16086960,16225076,4759374,52315,4811689,4864004,10860529,97703,10958232,11055935,48554692,256176,48810868,49067044,22.0,0.20,22.2,22.4,24.5,0.30,24.8,25.1,20.6,0.20,20.8,21.0,15.7,0.10,15.8,15.9,72382173,19438875,52605987,308196783,2013
93,53657,53750,15564145,121867,15686012,15807879,4609104,49083,4658187,4707270,10632252,82266,10714518,10796784,47966830,241557,48208387,48449944,21.5,0.20,21.7,21.9,23.7,0.20,23.9,24.1,20.2,0.20,20.4,20.6,15.4,0.10,15.5,15.6,72386485,19453155,52594799,310899910,2014
85,55775,55860,14862975,137298,15000273,15137571,4397105,51106,4448211,4499317,10145484,99544,10245028,10344572,45878016,275061,46153077,46428138,20.5,0.20,20.7,20.9,22.5,0.30,22.8,23.1,19.3,0.20,19.5,19.7,14.6,0.10,14.7,14.8,72454786,19489402,52635679,313476400,2015
115,57617,57732,13976345,139368,14115713,14255081,4108397,48552,4156949,4205501,9548767,99719,9648486,9748205,44022086,246910,44268996,44515906,19.3,0.20,19.5,19.7,21.1,0.20,21.3,21.5,18.1,0.20,18.3,18.5,13.9,0.10,14.0,14.1,72452603,19473767,52644648,315165470,2016
86,60336,60422,13229339,123863,13353202,13477065,3880645,52324,3932969,3985293,9033090,87413,9120503,9207916,42342619,241032,42583651,42824683,18.2,0.20,18.4,18.6,19.9,0.30,20.2,20.5,17.1,0.20,17.3,17.5,13.3,0.10,13.4,13.5,72452925,19457844,52669201,317741588,2017
94,61937,62031,12873127,124405,12997532,13121937,3714862,43842,3758704,3802546,8834521,95631,8930152,9025783,41619366,232949,41852315,42085264,17.8,0.20,18.0,18.2,19.3,0.20,19.5,19.7,16.8,0.20,17.0,17.2,13.0,0.10,13.1,13.2,72163269,19301529,52529919,319184033,2018
118,65712,65830,11865995,134475,12000470,12134945,3405854,51835,3457689,3509524,8160650,98256,8258906,8357162,39248096,242000,39490096,39732096,16.6,0.20,16.8,17.0,17.9,0.30,18.2,18.5,15.6,0.20,15.8,16.0,12.2,0.10,12.3,12.4,71633453,19002162,52324733,320118791,2019
89,67340,67429,11176652,27771,11204423,11232194,3133736,12589,3146325,3158914,7778138,20428,7798566,7818994,38309115,62279,38371394,38433673,15.7,0.00,15.7,15.7,16.7,0.10,16.8,16.9,14.9,0.00,14.9,14.9,11.9,0.00,11.9,11.9,71388957,18752913,52357364,321478113,2020
134,69717,69851,12110180,133039,12243219,12376258,3299669,49480,3349149,3398629,8533254,103021,8636275,8739296,41149497,243679,41393176,41636855,16.7,0.20,16.9,17.1,18.0,0.30,18.3,18.6,15.9,0.20,16.1,16.3,12.7,0.10,12.8,12.9,72297129,18313189,53700713,324173084,2021
